NDB_No,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Diabetic_Friendly,bp,obesity
1001,butter with salt,717.0,0.85,51.368,81.11,0.06,0.06,24.0,0.02,2,24.0,24.0,643.0,0.09,0,0,0
1002,butter whipped w salt,718.0,0.49,45.39,78.3,2.87,0.06,23.0,0.05,1,24.0,41.0,583.0,0.05,0,0,0
1003,butter oil anhydrous,876.0,0.28,61.924,99.48,0.0,0.0,4.0,0.0,0,3.0,5.0,2.0,0.01,0,0,0
1004,cheese blue,353.0,21.4,18.669,28.74,2.34,0.5,528.0,0.31,23,387.0,256.0,1146.0,2.66,1,0,0
1005,cheese brick,371.0,23.24,18.764,29.68,2.79,0.51,674.0,0.43,24,451.0,136.0,560.0,2.6,1,0,0
1006,cheese brie,334.0,20.75,17.41,27.68,0.45,0.45,184.0,0.5,20,188.0,152.0,629.0,2.38,1,0,0
1007,cheese camembert,300.0,19.8,15.259,24.26,0.46,0.46,388.0,0.33,20,347.0,187.0,842.0,2.38,1,0,0
1008,cheese caraway,376.0,25.18,18.584,29.2,3.06,0.0,673.0,0.64,22,490.0,93.0,690.0,2.94,1,0,0
1009,cheese cheddar,404.0,22.87,18.867,33.31,3.09,0.48,710.0,0.14,27,455.0,76.0,653.0,3.64,1,0,0
1010,cheese cheshire,387.0,23.37,19.475,30.6,4.78,0.0,643.0,0.21,21,464.0,95.0,700.0,2.79,1,0,0
1011,cheese colby,394.0,23.76,20.218,32.11,2.57,0.52,685.0,0.76,26,457.0,127.0,604.0,3.07,0,0,0
1012,cheese cottage crmd lrg or sml curd,98.0,11.12,1.718,4.3,3.38,2.67,83.0,0.07,8,159.0,104.0,364.0,0.4,1,0,1
1013,cheese cottage crmd wfruit,97.0,10.69,2.311,3.85,4.61,2.38,53.0,0.16,7,113.0,90.0,344.0,0.33,1,0,1
1014,cheese cottage nonfat uncrmd dry lrg or sml curd,72.0,10.34,0.169,0.29,6.66,1.85,86.0,0.15,11,190.0,137.0,372.0,0.47,1,0,1
1015,cheese cottage lowfat 2 milkfat,81.0,10.45,1.235,2.27,4.76,4.0,111.0,0.13,9,150.0,125.0,308.0,0.51,1,0,1
1016,cheese cottage lowfat 1 milkfat,72.0,12.39,0.645,1.02,2.72,2.72,61.0,0.14,5,134.0,86.0,406.0,0.38,1,0,1
1017,cheese cream,350.0,6.15,20.213,34.44,5.52,3.76,97.0,0.11,9,107.0,132.0,314.0,0.5,0,0,0
1018,cheese edam,357.0,24.99,17.572,27.8,1.43,1.43,731.0,0.44,30,536.0,188.0,812.0,3.75,1,0,0
1019,cheese feta,264.0,14.21,14.946,21.28,4.09,4.09,493.0,0.65,19,337.0,62.0,917.0,2.88,1,0,0
1020,cheese fontina,389.0,25.6,19.196,31.14,1.55,1.55,550.0,0.23,14,346.0,64.0,800.0,3.5,1,0,0
1021,cheese gjetost,466.0,9.65,19.16,29.51,42.65,0.0,400.0,0.52,70,444.0,1409.0,600.0,1.14,0,0,0
1022,cheese gouda,356.0,24.94,17.614,27.44,2.22,2.22,700.0,0.24,29,546.0,121.0,819.0,3.9,1,0,0
1023,cheese gruyere,413.0,29.81,18.913,32.34,0.36,0.36,1011.0,0.17,36,605.0,81.0,714.0,3.9,1,0,0
1024,cheese limburger,327.0,20.05,16.746,27.25,0.49,0.49,497.0,0.13,21,393.0,128.0,800.0,2.1,1,0,0
1025,cheese monterey,373.0,24.48,19.066,30.28,0.68,0.5,746.0,0.72,27,444.0,81.0,600.0,3.0,1,0,0
1026,cheese mozzarella whl milk,300.0,22.17,13.152,22.35,2.19,1.03,505.0,0.44,20,354.0,76.0,627.0,2.92,1,0,0
1027,cheese mozzarella whl milk lo moist,318.0,21.6,15.561,24.64,2.47,1.01,575.0,0.2,21,412.0,75.0,710.0,2.46,1,0,0
1028,cheese mozzarella part skim milk,254.0,24.26,10.114,15.92,2.77,1.13,782.0,0.22,23,463.0,84.0,619.0,2.76,1,0,0
1029,cheese mozzarella lo moist part-skim,295.0,23.75,11.295,19.78,5.58,1.9,697.0,0.22,27,548.0,188.0,666.0,3.62,1,0,0
1030,cheese muenster,368.0,23.41,19.113,30.04,1.12,1.12,717.0,0.41,27,468.0,134.0,628.0,2.81,1,0,0
1031,cheese neufchatel,253.0,9.15,12.79,22.78,3.59,3.19,117.0,0.13,10,138.0,152.0,334.0,0.82,1,0,0
1032,cheese parmesan grated,420.0,28.42,15.371,27.84,13.91,0.07,853.0,0.49,34,627.0,180.0,1804.0,4.2,1,0,0
1033,cheese parmesan hard,392.0,35.75,16.41,25.83,3.22,0.8,1184.0,0.82,44,694.0,92.0,1376.0,2.75,1,0,0
1034,cheese port de salut,352.0,23.78,16.691,28.2,0.57,0.57,650.0,0.43,24,360.0,136.0,534.0,2.6,1,0,0
1035,cheese provolone,351.0,25.58,17.078,26.62,2.14,0.56,756.0,0.52,28,496.0,138.0,876.0,3.23,1,0,0
1036,cheese ricotta whole milk,174.0,11.26,8.295,12.98,3.04,0.27,207.0,0.38,11,158.0,105.0,84.0,1.16,1,0,0
1037,cheese ricotta part skim milk,138.0,11.39,4.927,7.91,5.14,0.31,272.0,0.44,15,183.0,125.0,99.0,1.34,1,0,1
1038,cheese romano,387.0,31.8,17.115,26.94,3.63,0.73,1064.0,0.77,41,760.0,86.0,1433.0,2.58,1,0,0
1039,cheese roquefort,369.0,21.54,19.263,30.64,2.0,0.0,662.0,0.56,30,392.0,91.0,1809.0,2.08,1,0,0
1040,cheese swiss,393.0,26.96,18.227,30.99,1.44,0.0,890.0,0.13,33,574.0,72.0,187.0,4.37,1,0,0
1041,cheese tilsit,340.0,24.41,16.775,25.98,1.88,0.0,700.0,0.23,13,500.0,65.0,753.0,3.5,1,0,0
1042,cheese past process american fort w vitamin d,366.0,18.13,18.057,30.71,4.78,2.26,1045.0,0.63,26,641.0,132.0,1671.0,2.49,1,0,0
